model,MAE,RMSE,R2,CV_R2
Random Forest,0.012955014372413386,0.22472451892759568,0.9999981192287336,0.9999989587098612
Decision Tree,0.5580609611743091,1.1132835618373635,0.9999538420347882,0.9999742379310016
Gradient Boosting (sklearn),0.747787846137003,1.5870942238284382,0.9999061918687451,0.9999423372800909
LightGBM,0.5893844193674981,2.041412405152014,0.9998447982687312,0.9999736921285963
XGBoost,0.5841181036028299,2.077199447647829,0.9998393090348355,0.9999747839208661
CatBoost,1.2920580907622885,3.5788755928289833,0.9995229891404477,0.9998471729513885
ElasticNet,40.49522374811893,163.82646716255482,0.0004530589334293955,0.8957812144371348
Ridge (alpha=1),39.47797552415378,170.37491167693918,-0.08105141559633777,0.9007983559079917
Linear Regression,39.48603665005648,170.6273688270775,-0.08425753742650843,0.9007932252079008
Lasso (alpha=0.01),41.777921286089516,171.54021038102348,-0.09588993725263362,0.8924846899436343
